epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.731,3.69839,2.45037,1.13284,0.07667,0.18661,0.06517,0.01486,4.1211,273.752,0.99009,0.09703,3e-05,3e-05
2,553.039,3.42553,1.6443,0.96095,0.06833,0.16633,0.05748,0.01221,3.78152,381.17,1.00614,0.0930677,6.769e-05,6.769e-05
